row = ('Beam', 'dbo', 'etbl3033', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009May22090740', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June15101601', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003November14050638', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11096', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014July09155310', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016March24192710', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2018July04162447', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007October15022419', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March25125910', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014September13213255', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageG5', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016May25133913', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006November11121052', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010May19051427', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015September09163717', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2018November30024133', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5050', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014November20184843', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February17181724', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012October20014222', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005September16123158', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March31025442', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16171902', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4108', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013June19101349', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2004June26033018', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December10120105', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017May18152838', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012February20024220', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3034', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012June20030358', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003November14091503', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11097', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014July10125709', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2016March24210653', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010July31053630', 'BASE TABLE') 
